item_basico,nome_produto,preco,preco_original,desconto_percentual,codigo_produto,categoria_busca,fonte,url_produto
acucar,ADOÇANTE LÍQUIDO ZERO CAL SACARINA 200ML,13.67,13.67,0.0,7896094910959,acucar,saoluiz,https://mercadinhossaoluiz.com.br/produto/adocante-zero-cal-200ml
acucar,AÇÚCAR UNIÃO GLAÇÚCAR 500G,4.89,4.89,0.0,7891910007110,acucar,saoluiz,https://mercadinhossaoluiz.com.br/produto/acucar-glacucar-uniao-500g
acucar,AÇÚCAR DEMERARA UNIÃO 1KG,6.2,6.2,0.0,7891910030101,acucar,saoluiz,https://mercadinhossaoluiz.com.br/produto/acucar-demerara-uniao-pacote-1kg
oleo,MOLHO DE TOMATE POMAROLA RECEITAS BOLONHESA 300G,9.15,9.15,0.0,7896036095126,oleo,saoluiz,https://mercadinhossaoluiz.com.br/produto/pomarola-bolonhesa-sache-300g
oleo,COLORÍFICO DONA CLARA 100G,1.36,1.36,0.0,7896490288898,oleo,saoluiz,https://mercadinhossaoluiz.com.br/produto/colorau-colorifico-dona-clara-100g
oleo,MOLHO DE PIMENTA TABASCO BRAND PEPPER 60ML,30.52,30.52,0.0,11210115606,oleo,saoluiz,https://mercadinhossaoluiz.com.br/produto/molho-americano-tabasco-red-pepper-60ml
oleo,TEMPERO SAZÓN CARNE 60G,6.37,6.37,0.0,7891132019281,oleo,saoluiz,https://mercadinhossaoluiz.com.br/produto/tempero-sazon-carne-floppy-60g
oleo,TEMPERO SAZÓN AVES 60G,6.37,6.37,0.0,7891132019274,oleo,saoluiz,https://mercadinhossaoluiz.com.br/produto/tempero-para-frango-sazon-60g
ovos,PÃO DE QUEIJO YOKI 250G,14.62,14.62,0.0,7891095300808,ovos,saoluiz,https://mercadinhossaoluiz.com.br/produto/massa-para-pao-de-queijo-yoki-250g
ovos,OVO VERMELHO AVINE EXTRA C/20 UNIDADES,19.46,19.46,0.0,7896304100279,ovos,saoluiz,https://mercadinhossaoluiz.com.br/produto/ovos-avine-vermelho-extra-com-20
ovos,OVO BRANCO AVINE EXTRA C/20 UNIDADES,17.36,17.36,0.0,7896304100064,ovos,saoluiz,https://mercadinhossaoluiz.com.br/produto/ovos-avine-branco-extra-com-20
ovos,OVOS AVINE BRANCO GRANDE BANDEJA COM 30 UNIDADES,24.31,24.31,0.0,7896304100149,ovos,saoluiz,https://mercadinhossaoluiz.com.br/produto/ovos-avine-branco-grande-bandeja-com-30-unidades
ovos,SOPA MAGGI CEBOLA PACOTE 68G,7.74,7.74,0.0,7891000530603,ovos,saoluiz,https://mercadinhossaoluiz.com.br/produto/sopa-maggi-cebola-68g-79138
arroz,Arroz Branco Longo-fino Tipo 1 GrÃ£os Selecionados Carrefour 5Kg,12.79,15.99,20.01,4273,arroz,carrefour,https://mercado.carrefour.com.br/produto/arroz-branco-longo-fino-tipo-1-graos-selecionados-carrefour-5kg-4273
arroz,Arroz Branco Camil Tipo 1 1kg,4.39,5.49,20.04,15310,arroz,carrefour,https://mercado.carrefour.com.br/produto/arroz-branco-camil-tipo-1-1kg-15310
arroz,Arroz Branco Longo-fino Tipo 1 Tio JoÃ£o 1 Kg,5.29,6.49,18.49,1972,arroz,carrefour,https://mercado.carrefour.com.br/produto/arroz-branco-longo-fino-tipo-1-tio-joao-1-kg-1972
arroz,Arroz Branco Longo-fino Tipo 1 Tio JoÃ£o 5 Kg,25.69,31.19,17.63,14973,arroz,carrefour,https://mercado.carrefour.com.br/produto/arroz-branco-longo-fino-tipo-1-tio-joao-5-kg-14973
arroz,Arroz Branco Longo-fino Tipo 1 Namorado 5Kg,19.49,24.99,22.01,5854,arroz,carrefour,https://mercado.carrefour.com.br/produto/arroz-branco-longo-fino-tipo-1-namorado-5kg-5854
feijao,Feijao Preto Carrefour 1 Kg,5.98,5.98,,6297839,feijao,carrefour,https://mercado.carrefour.com.br/produto/feijao-preto-carrefour-1-kg-6297839
feijao,FeijÃ£o Carioca Tipo 1 Kicaldo 1Kg,7.19,8.99,20.02,2967,feijao,carrefour,https://mercado.carrefour.com.br/produto/feijao-carioca-tipo-1-kicaldo-1kg-2967
feijao,FeijÃ£o Carioca Tipo 1 Broto Legal 1 Kg,8.69,10.39,16.36,2968,feijao,carrefour,https://mercado.carrefour.com.br/produto/feijao-carioca-tipo-1-broto-legal-1-kg-2968
feijao,FeijÃ£o Solito Carioca Tipo 1 1Kg,6.39,8.79,27.3,4931,feijao,carrefour,https://mercado.carrefour.com.br/produto/feijao-solito-carioca-tipo-1-1kg-4931
feijao,FeijÃ£o Jalo Caldo Bom 500g,14.99,14.99,,13105,feijao,carrefour,https://mercado.carrefour.com.br/produto/feijao-jalo-caldo-bom-500g-13105
acucar,AÃ§Ãºcar Refinado UniÃ£o 1kg,2.99,3.79,21.11,2406,acucar,carrefour,https://mercado.carrefour.com.br/produto/acucar-refinado-uniao-1kg-2406
acucar,AÃ§Ãºcar Refinado Carrefour 1kg,2.69,3.19,15.67,17755,acucar,carrefour,https://mercado.carrefour.com.br/produto/acucar-refinado-carrefour-1kg-17755
acucar,AÃ§Ãºcar Demerara OrgÃ¢nico Carrefour Bio 1 Kg,6.39,7.99,20.03,6470432,acucar,carrefour,https://mercado.carrefour.com.br/produto/acucar-demerara-organico-carrefour-bio-1-kg-6470432
acucar,Coca-Cola Sem AÃ§Ãºcar Pet 600 ml,5.49,6.09,9.85,3391,acucar,carrefour,https://mercado.carrefour.com.br/produto/coca-cola-sem-acucar-pet-600-ml-3391
acucar,Coca-Cola Sem AÃ§Ãºcar 6 Unidades 350 ml Cada Pack Leve Mais Pague Menos,20.99,23.7,11.43,11242198,acucar,carrefour,https://mercado.carrefour.com.br/produto/coca-cola-sem-acucar-6-unidades-350-ml-cada-pack-leve-mais-pague-menos-11242198
oleo,Ãleo de Soja Liza 900ml,6.19,7.79,20.54,5278,oleo,carrefour,https://mercado.carrefour.com.br/produto/oleo-de-soja-liza-900ml-5278
oleo,Ãleo de Soja Confiare 900ml,5.69,7.09,19.75,325711880,oleo,carrefour,https://mercado.carrefour.com.br/produto/oleo-de-soja-confiare-900ml-325711880
oleo,Ãleo de Girassol Carrefour 900ml,7.49,9.39,20.23,12342,oleo,carrefour,https://mercado.carrefour.com.br/produto/oleo-de-girassol-carrefour-900ml-12342
oleo,Ãleo de Girassol Soya 900ml,11.69,14.59,19.88,14644,oleo,carrefour,https://mercado.carrefour.com.br/produto/oleo-de-girassol-soya-900ml-14644
oleo,Ãleo de Soja Soya 900ml,7.59,7.59,,15237,oleo,carrefour,https://mercado.carrefour.com.br/produto/oleo-de-soja-soya-900ml-15237
ovos,Ovos Brancos Jumbo Graciana Estojo com 10 Unidades,5.98,5.98,,340331205,ovos,carrefour,https://mercado.carrefour.com.br/produto/ovos-brancos-jumbo-graciana-estojo-com-10-unidades-340331205
ovos,Ovos Vermelhos Carrefour 20 Unidades,10.19,16.99,40.02,9821,ovos,carrefour,https://mercado.carrefour.com.br/produto/ovos-vermelhos-carrefour-20-unidades-9821
ovos,Ovos Caipira Ito Country com 10 Unidades,11.39,14.29,20.29,321970526,ovos,carrefour,https://mercado.carrefour.com.br/produto/ovos-caipira-ito-country-com-10-unidades-321970526
ovos,Ovos Tipo Grande Vermelho Caipira Categoria A Carrefour 10 Unidades,10.39,12.99,20.02,6637,ovos,carrefour,https://mercado.carrefour.com.br/produto/ovos-tipo-grande-vermelho-caipira-categoria-a-carrefour-10-unidades-6637
ovos,Ovo Branco Grande Ac Planalto Ovos Bandeja com 20,14.39,16.99,15.3,9259352,ovos,carrefour,https://mercado.carrefour.com.br/produto/ovo-branco-grande-ac-planalto-ovos-bandeja-com-20-9259352
arroz,Arroz Agulhinha Tipo 1 CAMIL Pacote 5kg,23.99,,,0791595,arroz,paodeacucar,https://www.paodeacucar.com/produto/41329/arroz-agulhinha-tipo-1-camil-pacote-5kg
arroz,Arroz Agulhinha Tipo 1 Tio João Pacote 1kg,5.89,7.79,24.0,0154093,arroz,paodeacucar,https://www.paodeacucar.com/produto/31117/arroz-agulhinha-tipo-1-tio-joao-pacote-1kg
arroz,Arroz Agulhinha Tipo 1 TIO JOÃO Pacote 5kg,27.49,35.99,23.0,0132817,arroz,paodeacucar,https://www.paodeacucar.com/produto/138068/arroz-agulhinha-tipo-1-tio-joao-pacote-5kg
arroz,Arroz Branco Tipo 1 Qualitá Pacote 5kg,22.99,,,6009199,arroz,paodeacucar,https://www.paodeacucar.com/produto/107050/arroz-branco-tipo-1-qualita-pacote-5kg
arroz,Arroz Agulhinha Tipo 1 CAMIL Pacote 1kg,5.99,,,0300438,arroz,paodeacucar,https://www.paodeacucar.com/produto/99080/arroz-agulhinha-tipo-1-camil-pacote-1kg
feijao,Feijão Carioca Tipo 1 CAMIL Pacote 1kg,9.79,,,0468084,feijao,paodeacucar,https://www.paodeacucar.com/produto/9461/feijao-carioca-tipo-1-camil-pacote-1kg
feijao,Feijão Preto Tipo 1 Camil Pacote 1kg,8.79,,,0468091,feijao,paodeacucar,https://www.paodeacucar.com/produto/9493/feijao-preto-tipo-1-camil-pacote-1kg
feijao,Feijão Carioca Tipo 1 KICALDO Pacote 1Kg,11.49,,,0221146,feijao,paodeacucar,https://www.paodeacucar.com/produto/109209/feijao-carioca-tipo-1-kicaldo-pacote-1kg
feijao,Feijão Carioca Tipo 1 Pantera Premium Pacote 1kg,10.99,,,2155883,feijao,paodeacucar,https://www.paodeacucar.com/produto/16961/feijao-carioca-tipo-1-pantera-premium-pacote-1kg
feijao,Feijão Preto Tipo 1 Qualitá Pacote 1kg,6.99,,,5991464,feijao,paodeacucar,https://www.paodeacucar.com/produto/162822/feijao-preto-tipo-1-qualita-pacote-1kg
acucar,Açúcar de Confeiteiro Glaçúcar União Pacote 500g,7.49,,,1123920,acucar,paodeacucar,https://www.paodeacucar.com/produto/48213/acucar-de-confeiteiro-glacucar-uniao-pacote-500g
acucar,Açúcar Refinado União Pacote 1kg,3.99,,,0248334,acucar,paodeacucar,https://www.paodeacucar.com/produto/74215/acucar-refinado-uniao-pacote-1kg
acucar,Açúcar Refinado CARAVELAS Pacote 1kg,3.49,,,3995600,acucar,paodeacucar,https://www.paodeacucar.com/produto/61474/acucar-refinado-caravelas-pacote-1kg
acucar,Açúcar Refinado Qualitá Pacote 1kg,3.79,,,5977680,acucar,paodeacucar,https://www.paodeacucar.com/produto/103403/acucar-refinado-qualita-pacote-1kg
acucar,Açúcar Demerara Orgânico Taeq Pacote 1kg,8.99,,,1276546,acucar,paodeacucar,https://www.paodeacucar.com/produto/602691/acucar-demerara-organico-taeq-pacote-1kg
oleo,Óleo de Soja Tipo 1 Liza Garrafa 900ml,8.79,,,1230147,oleo,paodeacucar,https://www.paodeacucar.com/produto/131661/oleo-de-soja-tipo-1-liza-garrafa-900ml
oleo,Óleo de Soja Tipo 1 Qualitá Garrafa 900ml,8.99,,,6894818,oleo,paodeacucar,https://www.paodeacucar.com/produto/30450/oleo-de-soja-tipo-1-qualita-garrafa-900ml
oleo,Óleo De Soja SOYA Garrafa 900ml,9.29,,,0145091,oleo,paodeacucar,https://www.paodeacucar.com/produto/124153/oleo-de-soja-soya-garrafa-900ml
oleo,Óleo de Girassol Tipo 1 Liza Especiais Garrafa 900ml,18.99,,,2285207,oleo,paodeacucar,https://www.paodeacucar.com/produto/7614/oleo-de-girassol-tipo-1-liza-especiais-garrafa-900ml
oleo,Óleo de Milho Tipo 1 Liza Especiais Garrafa 900ml,19.99,,,2285610,oleo,paodeacucar,https://www.paodeacucar.com/produto/4446/oleo-de-milho-tipo-1-liza-especiais-garrafa-900ml
ovos,Ovos Vermelhos Grande Orgânico Taeq Bandeja 10 Unidades,20.9,,,4656029,ovos,paodeacucar,https://www.paodeacucar.com/produto/178252/ovos-vermelhos-grande-organico-taeq-bandeja-10-unidades
ovos,Ovos Vermelhos Happy Eggs com 10 Unidades,12.99,,,1369026,ovos,paodeacucar,https://www.paodeacucar.com/produto/1567345/ovos-vermelhos-happy-eggs-com-10-unidades
ovos,Ovos Vermelhos Qualitá Livre de Gaiola Bandeja 20 Unidades,22.99,,,1404541,ovos,paodeacucar,https://www.paodeacucar.com/produto/1636359/ovos-vermelhos-qualita-livre-de-gaiola-bandeja-20-unidades
ovos,Ovo Branco Grande Com 20 Unidades Mantiqueira,17.99,,,1414601,ovos,paodeacucar,https://www.paodeacucar.com/produto/1640606/ovo-branco-grande-com-20-unidades-mantiqueira
ovos,Ovos Caipira Grande Korin Boa Pedida Bandeja 10 Unidades,18.99,,,1203469,ovos,paodeacucar,https://www.paodeacucar.com/produto/447316/ovos-caipira-grande-korin-boa-pedida-bandeja-10-unidades
